priority,brand,model,variant,platform,launch_price,official_store,product_url,public_price,gov_price,billion_subsidy_price,evidence_path,review_status,reviewer
MEDIUM,Apple,iPhone 17 Pro,512,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro,512,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro,512,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro,1TB,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro,1TB,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro,1TB,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro Max,256,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro Max,256,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro Max,256,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro Max,512,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro Max,512,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro Max,512,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro Max,1TB,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro Max,1TB,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro Max,1TB,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro Max,2TB,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro Max,2TB,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 17 Pro Max,2TB,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone Air,256,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone Air,256,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone Air,256,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone Air,512,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone Air,512,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone Air,512,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone Air,1TB,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone Air,1TB,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone Air,1TB,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17e,128,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17e,128,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 17e,128,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17e,256,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17e,256,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 17e,256,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17e,512,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 17e,512,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 17e,512,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone 16,128,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 16,128,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 16,128,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone 16,256,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 16,256,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 16,256,pdd,,,,,,,,pending,
MEDIUM,Apple,iPhone 16,512,jd,,,,,,,,pending,
MEDIUM,Apple,iPhone 16,512,tmall,,,,,,,,pending,
MEDIUM,Apple,iPhone 16,512,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 90 Pro Max,256,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 90 Pro Max,256,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 90 Pro Max,256,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 90 Pro Max,512,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 90 Pro Max,512,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 90 Pro Max,512,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 90 Pro Max,1TB,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 90 Pro Max,1TB,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 90 Pro Max,1TB,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X Max,12GB+256,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X Max,12GB+256,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X Max,12GB+256,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X Max,12GB+512,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X Max,12GB+512,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X Max,12GB+512,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X Max,16GB+512,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X Max,16GB+512,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X Max,16GB+512,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X Max,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X Max,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura X Max,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 Pro,256,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 Pro,256,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 Pro,256,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 Pro,512,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 Pro,512,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 Pro,512,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 Pro,1TB,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 Pro,1TB,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Mate 70 Pro,1TB,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Ultra,512,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Ultra,512,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Ultra,512,pdd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Ultra,1TB,jd,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Ultra,1TB,tmall,,,,,,,,pending,
MEDIUM,华为,HUAWEI Pura 80 Ultra,1TB,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Ultra,12GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Ultra,12GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Ultra,12GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Ultra,12GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Ultra,12GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Ultra,12GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Ultra,16GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Ultra,16GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Ultra,16GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Ultra,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Ultra,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Ultra,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9s Pro,12GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9s Pro,12GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9s Pro,12GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9s Pro,12GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9s Pro,12GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9s Pro,12GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9s Pro,16GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9s Pro,16GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9s Pro,16GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9s Pro,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9s Pro,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9s Pro,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Pro,12GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Pro,12GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Pro,12GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Pro,12GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Pro,12GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Pro,12GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Pro,16GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Pro,16GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Pro,16GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Pro,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Pro,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9 Pro,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9,12GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9,12GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9,12GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9,12GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9,12GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9,12GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9,16GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9,16GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9,16GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9,16GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9,16GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9,16GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Find X9,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16 Pro,12GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16 Pro,12GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16 Pro,12GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16 Pro,12GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16 Pro,12GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16 Pro,12GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16 Pro,16GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16 Pro,16GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16 Pro,16GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16,12GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16,12GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16,12GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16,12GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16,12GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16,12GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16,16GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16,16GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16,16GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16,16GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16,16GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16,16GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO Reno16,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO K15 Pro,12GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO K15 Pro,12GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO K15 Pro,12GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO K15 Pro,12GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO K15 Pro,12GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO K15 Pro,12GB+512,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO A6s Pro,8GB+128,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO A6s Pro,8GB+128,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO A6s Pro,8GB+128,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO A6s Pro,8GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO A6s Pro,8GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO A6s Pro,8GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO A6s Pro,12GB+256,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO A6s Pro,12GB+256,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO A6s Pro,12GB+256,pdd,,,,,,,,pending,
MEDIUM,OPPO,OPPO A6s Pro,12GB+512,jd,,,,,,,,pending,
MEDIUM,OPPO,OPPO A6s Pro,12GB+512,tmall,,,,,,,,pending,
MEDIUM,OPPO,OPPO A6s Pro,12GB+512,pdd,,,,,,,,pending,
HIGH,vivo,vivo X300 Ultra,12GB+256,jd,6999.00,,,,,,,pending,
HIGH,vivo,vivo X300 Ultra,12GB+256,tmall,6999.00,,,,,,,pending,
HIGH,vivo,vivo X300 Ultra,12GB+256,pdd,6999.00,,,,,,,pending,
HIGH,vivo,vivo X300 Ultra,12GB+512,jd,7499.00,,,,,,,pending,
HIGH,vivo,vivo X300 Ultra,12GB+512,tmall,7499.00,,,,,,,pending,
HIGH,vivo,vivo X300 Ultra,12GB+512,pdd,7499.00,,,,,,,pending,
HIGH,vivo,vivo X300 Ultra,16GB+512,jd,7999.00,,,,,,,pending,
HIGH,vivo,vivo X300 Ultra,16GB+512,tmall,7999.00,,,,,,,pending,
HIGH,vivo,vivo X300 Ultra,16GB+512,pdd,7999.00,,,,,,,pending,
MEDIUM,vivo,vivo X300 Ultra,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,vivo,vivo X300 Ultra,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,vivo,vivo X300 Ultra,16GB+1TB,pdd,,,,,,,,pending,
HIGH,vivo,vivo X300 Pro,12GB+256,jd,5699.00,,,,,,,pending,
HIGH,vivo,vivo X300 Pro,12GB+256,tmall,5699.00,,,,,,,pending,
HIGH,vivo,vivo X300 Pro,12GB+256,pdd,5699.00,,,,,,,pending,
HIGH,vivo,vivo X300 Pro,16GB+512,jd,6499.00,,,,,,,pending,
HIGH,vivo,vivo X300 Pro,16GB+512,tmall,6499.00,,,,,,,pending,
HIGH,vivo,vivo X300 Pro,16GB+512,pdd,6499.00,,,,,,,pending,
MEDIUM,vivo,vivo X300 Pro,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,vivo,vivo X300 Pro,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,vivo,vivo X300 Pro,16GB+1TB,pdd,,,,,,,,pending,
HIGH,vivo,vivo X300 Pro,12GB+512,jd,5999.00,,,,,,,pending,
HIGH,vivo,vivo X300 Pro,12GB+512,tmall,5999.00,,,,,,,pending,
HIGH,vivo,vivo X300 Pro,12GB+512,pdd,5999.00,,,,,,,pending,
HIGH,vivo,vivo X300,16GB+1TB,jd,6299.00,,,,,,,pending,
HIGH,vivo,vivo X300,16GB+1TB,tmall,6299.00,,,,,,,pending,
HIGH,vivo,vivo X300,16GB+1TB,pdd,6299.00,,,,,,,pending,
HIGH,vivo,vivo X300,12GB+256,jd,4599.00,,,,,,,pending,
HIGH,vivo,vivo X300,12GB+256,tmall,4599.00,,,,,,,pending,
HIGH,vivo,vivo X300,12GB+256,pdd,4599.00,,,,,,,pending,
HIGH,vivo,vivo X300,16GB+256,jd,4999.00,,,,,,,pending,
HIGH,vivo,vivo X300,16GB+256,tmall,4999.00,,,,,,,pending,
HIGH,vivo,vivo X300,16GB+256,pdd,4999.00,,,,,,,pending,
HIGH,vivo,vivo X300,12GB+512,jd,5299.00,,,,,,,pending,
HIGH,vivo,vivo X300,12GB+512,tmall,5299.00,,,,,,,pending,
HIGH,vivo,vivo X300,12GB+512,pdd,5299.00,,,,,,,pending,
HIGH,vivo,vivo X300,16GB+512,jd,5699.00,,,,,,,pending,
HIGH,vivo,vivo X300,16GB+512,tmall,5699.00,,,,,,,pending,
HIGH,vivo,vivo X300,16GB+512,pdd,5699.00,,,,,,,pending,
HIGH,vivo,vivo S50 Pro mini,12GB+256,jd,3699.00,,,,,,,pending,
HIGH,vivo,vivo S50 Pro mini,12GB+256,tmall,3699.00,,,,,,,pending,
HIGH,vivo,vivo S50 Pro mini,12GB+256,pdd,3699.00,,,,,,,pending,
HIGH,vivo,vivo S50 Pro mini,12GB+512,jd,3999.00,,,,,,,pending,
HIGH,vivo,vivo S50 Pro mini,12GB+512,tmall,3999.00,,,,,,,pending,
HIGH,vivo,vivo S50 Pro mini,12GB+512,pdd,3999.00,,,,,,,pending,
HIGH,vivo,vivo S50 Pro mini,16GB+512,jd,4299.00,,,,,,,pending,
HIGH,vivo,vivo S50 Pro mini,16GB+512,tmall,4299.00,,,,,,,pending,
HIGH,vivo,vivo S50 Pro mini,16GB+512,pdd,4299.00,,,,,,,pending,
HIGH,vivo,vivo S50,12GB+256,jd,2999.00,,,,,,,pending,
HIGH,vivo,vivo S50,12GB+256,tmall,2999.00,,,,,,,pending,
HIGH,vivo,vivo S50,12GB+256,pdd,2999.00,,,,,,,pending,
HIGH,vivo,vivo S50,12GB+512,jd,3299.00,,,,,,,pending,
HIGH,vivo,vivo S50,12GB+512,tmall,3299.00,,,,,,,pending,
HIGH,vivo,vivo S50,12GB+512,pdd,3299.00,,,,,,,pending,
HIGH,vivo,vivo S50,16GB+256,jd,3399.00,,,,,,,pending,
HIGH,vivo,vivo S50,16GB+256,tmall,3399.00,,,,,,,pending,
HIGH,vivo,vivo S50,16GB+256,pdd,3399.00,,,,,,,pending,
HIGH,vivo,vivo S50,16GB+512,jd,3599.00,,,,,,,pending,
HIGH,vivo,vivo S50,16GB+512,tmall,3599.00,,,,,,,pending,
HIGH,vivo,vivo S50,16GB+512,pdd,3599.00,,,,,,,pending,
HIGH,vivo,vivo Y500,12GB+512,jd,1999.00,,,,,,,pending,
HIGH,vivo,vivo Y500,12GB+512,tmall,1999.00,,,,,,,pending,
HIGH,vivo,vivo Y500,12GB+512,pdd,1999.00,,,,,,,pending,
HIGH,vivo,vivo Y500,12GB+256,jd,1799.00,,,,,,,pending,
HIGH,vivo,vivo Y500,12GB+256,tmall,1799.00,,,,,,,pending,
HIGH,vivo,vivo Y500,12GB+256,pdd,1799.00,,,,,,,pending,
HIGH,vivo,vivo Y500,8GB+256,jd,1599.00,,,,,,,pending,
HIGH,vivo,vivo Y500,8GB+256,tmall,1599.00,,,,,,,pending,
HIGH,vivo,vivo Y500,8GB+256,pdd,1599.00,,,,,,,pending,
HIGH,vivo,vivo Y500,8GB+128,jd,1399.00,,,,,,,pending,
HIGH,vivo,vivo Y500,8GB+128,tmall,1399.00,,,,,,,pending,
HIGH,vivo,vivo Y500,8GB+128,pdd,1399.00,,,,,,,pending,
MEDIUM,vivo,iQOO 15 Ultra,16GB+256,jd,,,,,,,,pending,
MEDIUM,vivo,iQOO 15 Ultra,16GB+256,tmall,,,,,,,,pending,
MEDIUM,vivo,iQOO 15 Ultra,16GB+256,pdd,,,,,,,,pending,
HIGH,vivo,iQOO 15 Ultra,16GB+512,jd,6499.00,,,,,,,pending,
HIGH,vivo,iQOO 15 Ultra,16GB+512,tmall,6499.00,,,,,,,pending,
HIGH,vivo,iQOO 15 Ultra,16GB+512,pdd,6499.00,,,,,,,pending,
HIGH,vivo,iQOO 15 Ultra,16GB+1TB,jd,7499.00,,,,,,,pending,
HIGH,vivo,iQOO 15 Ultra,16GB+1TB,tmall,7499.00,,,,,,,pending,
HIGH,vivo,iQOO 15 Ultra,16GB+1TB,pdd,7499.00,,,,,,,pending,
HIGH,vivo,iQOO 15 Ultra,24GB+1TB,jd,8199.00,,,,,,,pending,
HIGH,vivo,iQOO 15 Ultra,24GB+1TB,tmall,8199.00,,,,,,,pending,
HIGH,vivo,iQOO 15 Ultra,24GB+1TB,pdd,8199.00,,,,,,,pending,
MEDIUM,vivo,iQOO 15,12GB+256,tmall,,,,,,,,pending,
MEDIUM,vivo,iQOO 15,12GB+256,pdd,,,,,,,,pending,
HIGH,vivo,iQOO 15,16GB+256,jd,5299.00,,,,,,,pending,
HIGH,vivo,iQOO 15,16GB+256,pdd,5299.00,,,,,,,pending,
HIGH,vivo,iQOO 15,12GB+512,jd,5599.00,,,,,,,pending,
HIGH,vivo,iQOO 15,12GB+512,tmall,5599.00,,,,,,,pending,
HIGH,vivo,iQOO 15,12GB+512,pdd,5599.00,,,,,,,pending,
HIGH,vivo,iQOO 15,16GB+512,jd,5999.00,,,,,,,pending,
HIGH,vivo,iQOO 15,16GB+512,tmall,5999.00,,,,,,,pending,
HIGH,vivo,iQOO 15,16GB+512,pdd,5999.00,,,,,,,pending,
HIGH,vivo,iQOO 15,16GB+1TB,jd,6999.00,,,,,,,pending,
HIGH,vivo,iQOO 15,16GB+1TB,tmall,6999.00,,,,,,,pending,
HIGH,vivo,iQOO 15,16GB+1TB,pdd,6999.00,,,,,,,pending,
MEDIUM,realme,真我GT8 Pro,12GB+256,jd,,,,,,,,pending,
MEDIUM,realme,真我GT8 Pro,12GB+256,tmall,,,,,,,,pending,
MEDIUM,realme,真我GT8 Pro,12GB+256,pdd,,,,,,,,pending,
MEDIUM,realme,真我GT8 Pro,12GB+512,jd,,,,,,,,pending,
MEDIUM,realme,真我GT8 Pro,12GB+512,tmall,,,,,,,,pending,
MEDIUM,realme,真我GT8 Pro,12GB+512,pdd,,,,,,,,pending,
MEDIUM,realme,真我GT8 Pro,16GB+256,jd,,,,,,,,pending,
MEDIUM,realme,真我GT8 Pro,16GB+256,tmall,,,,,,,,pending,
MEDIUM,realme,真我GT8 Pro,16GB+256,pdd,,,,,,,,pending,
MEDIUM,realme,真我GT8 Pro,16GB+512,jd,,,,,,,,pending,
MEDIUM,realme,真我GT8 Pro,16GB+512,tmall,,,,,,,,pending,
MEDIUM,realme,真我GT8 Pro,16GB+512,pdd,,,,,,,,pending,
MEDIUM,realme,真我GT8 Pro,16GB+1TB,jd,,,,,,,,pending,
MEDIUM,realme,真我GT8 Pro,16GB+1TB,tmall,,,,,,,,pending,
MEDIUM,realme,真我GT8 Pro,16GB+1TB,pdd,,,,,,,,pending,
MEDIUM,realme,真我GT8,12GB+256,jd,,,,,,,,pending,
MEDIUM,realme,真我GT8,12GB+256,tmall,,,,,,,,pending,
MEDIUM,realme,真我GT8,12GB+256,pdd,,,,,,,,pending,
MEDIUM,realme,真我GT8,12GB+512,jd,,,,,,,,pending,
MEDIUM,realme,真我GT8,12GB+512,tmall,,,,,,,,pending,
MEDIUM,realme,真我GT8,12GB+512,pdd,,,,,,,,pending,
MEDIUM,realme,真我GT8,16GB+256,jd,,,,,,,,pending,
MEDIUM,realme,真我GT8,16GB+256,tmall,,,,,,,,pending,
MEDIUM,realme,真我GT8,16GB+256,pdd,,,,,,,,pending,
MEDIUM,realme,真我GT8,16GB+512,jd,,,,,,,,pending,
MEDIUM,realme,真我GT8,16GB+512,tmall,,,,,,,,pending,
