series,name,price,url,尺寸与重量_长度,尺寸与重量_宽度,尺寸与重量_厚度,尺寸与重量_重量,屏幕_屏幕尺寸,屏幕_屏幕色彩,屏幕_屏幕类型,屏幕_分辨率,处理器_CPU,处理器_GPU,存储_机身内存（ROM）,后置摄像头_后置摄像头配置,后置摄像头_后置摄像头变焦模式,后置摄像头_后置摄像头照片分辨率,后置摄像头_后置摄像头摄像分辨率,后置摄像头_后置摄像头拍摄功能,前置摄像头_前置摄像头像素,前置摄像头_前置摄像头照片分辨率,前置摄像头_前置摄像头摄像分辨率,前置摄像头_前置摄像头拍摄功能,数据连接_WLAN 频段,数据连接_WLAN 协议,数据连接_蓝牙,数据连接_数据线接口,数据连接_耳机接口,多媒体_音频,多媒体_视频,包装清单_外包装采用塑封，彩盒内标配：,屏幕_尺寸,屏幕_类型,存储_机身内存,充电_有线充电,数据连接_WLAN,数据连接_星闪,操作系统_HarmonyOS 6.0,屏幕_玻璃类型,存储_HUAWEI Mate X6,存储_HUAWEI Mate X6 典藏版,后置摄像头_后置摄像头对焦方式,后置摄像头_后置闪光灯,电池_HUAWEI Mate X6,电池_HUAWEI Mate X6 典藏版,充电_无线充电,数据连接_卫星通信,前置摄像头_前置摄像头视频拍摄,充电_有线快充,存储_运行内存（RAM）,后置摄像头_后置摄像头防抖模式,数据连接_超宽带（UWB）,存储_运行内存,前置摄像头_前置摄像头,屏幕_色彩,后置摄像头_后置摄像头,充电_有线充电：,充电_无线充电：,数据连接_查找功能,前置摄像头_前置摄像头变焦模式,操作系统_HarmonyOS 6.1,屏幕_屏幕像素密度,操作系统_HarmonyOS 4.3,存储_运行内存（RAM）+ 机身内存（ROM）,存储_扩展存储,后置摄像头_后置摄像头视频拍摄,存储_HUAWEI Pura X,存储_HUAWEI Pura X 典藏版,存储_HUAWEI Pura X Max,存储_HUAWEI Pura X Max 典藏版,屏幕_PPI,处理器_CPU 型号
Mate 系列,HUAWEI Mate XT 非凡大师,,https://consumer.huawei.com/cn/phones/mate-xt-ultimate-design/specs/,156.7 mm,单屏态：73.5 mm,单屏态：12.8 mm,约 298 g,单屏态：6.4 英寸,10.7 亿色，P3 广色域,OLED，支持 LTPO 自适应刷新，1440 Hz 高频 PWM 调光，最高 240 Hz 触控采样率,单屏态：2232 × 1008 像素；双屏态：2232 × 2048 像素；三屏态：2232 × 3184 像素,,,256 GB / 512 GB / 1 TB ROM,5000 万像素超光变摄像头（F1.4~F4.0 光圈，OIS 光学防抖）+ 1200 万像素超广角摄像头（F2.2 光圈）+ 1200 万像素潜望式长焦摄像头（F3.4 光圈，OIS 光学防抖）,支持 5.5 倍光学变焦（5.5 倍变焦为近似值，镜头焦段分别等效为 24 mm，13 mm，125 mm）、50 倍数字变焦,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,智能可变光圈、物理光圈 10 档可调、镜像智拍、后置自拍、风驰闪拍、高画质模式、百宝箱、超级微距、微距视频、视频 HDR Vivid、微距画中画、长焦画中画、微电影、音频变焦、高像素模式、延时摄影、超大广角、大光圈虚化、双景录像、超级夜景、人像模式、专业模式、慢动作、全景模式、流光快门、智能滤镜、多机位、水印、文档矫正、AI 摄影大师、动态照片、4D 预测追焦、笑脸抓拍、声控拍照、定时拍照、连拍,800 万像素（F2.2 光圈）,最大可支持 3264 × 2448 像素,最大可支持 3840 × 2160 像素,视频 HDR Vivid、夜景模式、人像模式、全景模式、延时摄影、动态照片、智能滤镜、水印、笑脸抓拍、自拍镜像、声控拍照、定时拍摄,,,Bluetooth 5.2，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，USB 3.1 GEN1，支持 DP1.2,USB Type-C,Huawei Histen、立体声,*.3gp、*.mp4,,,,,,2.4 GHz 和 5 GHz,支持,,,,,支持自动对焦,LED 闪光灯,,,,天通卫星通信,,,16 GB RAM,光学防抖、电子防抖、AIS 防抖,支持,,,,,,,,,,,,,,,,,,,,
Mate 系列,HUAWEI Mate XTs 非凡大师,17999,https://consumer.huawei.com/cn/phones/mate-xts-ultimate-design/specs/,156.7mm,单屏态：73.5 mm,单屏态：12.8 mm,约 298 克,单屏态：6.4 英寸,10.7 亿色，P3 广色域,OLED，支持 LTPO 自适应刷新，1440 Hz 高频 PWM 调光，最高 240 Hz 触控采样率,单屏态：2232 × 1008 像素,,,,5000 万像素超光变摄像头（F1.4-F4.0 十档物理可变光圈，RYYB，OIS 光学防抖）,支持 5.5 倍光学变焦（5.5 倍变焦为近似值，镜头焦段分别等效为 24 mm，13 mm，125 mm）、50 倍数字变焦,最大可支持 8192 × 6144 像素,最大可支持 3840 × 2160 像素,个性色卡*、超清全景*、AI 辅助构图、 AI 超清增强、 AI 动态照片、智能可变光圈、物理光圈 10 档可调、 双屏同显*、后置自拍、闪拍、高画质模式、超级夜景、超级微距、微距视频、视频 HDR Vivid、微距画中画、长焦画中画、音频变焦、高像素模式、延时摄影、超大广角、大光圈虚化、人像模式、专业模式、慢动作、流光快门、水印、AI 摄影大师、笑脸抓拍、声控拍照、定时拍照、连拍。,,最大可支持 3264 × 2448 像素,最大可支持 3840 × 2160 像素,个性色卡*、后置自拍、AI 动态照片、视频 HDR Vivid、夜景模式、人像模式、延时摄影、笑脸抓拍、自拍镜像、声控拍照、定时拍摄,,,Bluetooth 5.2，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，USB 3.1 Gen 1，支持 DP1.2,USB Type-C 接口,Huawei Histen音效，支持立体声,*.mp4,,,,256 GB / 512 GB / 1 TB ROM,手机支持最大超级快充 66 W（11V/6A），兼容 10V/4A 或 10V/2.25A 或4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充，支持 5 W 有线反向充电。,2.4 GHz 和 5 GHz,支持,,,,,自动对焦,LED 闪光灯,,,最大支持 50 W 华为无线超级快充，支持 7.5 W 无线反向充电。,天通卫星通信,,,,,,16 GB RAM,800 万像素超广角摄像头（F2.2 光圈）,,,,,,,,,,,,,,,,,,
Mate 系列,HUAWEI Mate 70,,https://consumer.huawei.com/cn/phones/mate70/specs/,160.9 mm,75.9 mm,7.8 mm,约 203 g（含电池）,,,,FHD+ 2688 × 1216 像素,,,256 GB / 512 GB / 1 TB ROM,,支持 5.5 倍光学变焦（5.5 倍变焦为近似值，镜头焦段分别为 24 mm，13 mm，125 mm）、50 倍数字变焦,最大可支持 8192 × 6144 像素,最大支持 4K（3840 × 2160）视频录制,AI 动态照片、视频 HDR Vivid、风驰闪拍、高画质模式、智能可变光圈、物理光圈可调、夜景模式、超级微距、微距视频、微距画中画、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、人像模式、专业模式、慢动作、全景模式、流光快门、智能滤镜、水印、AI 摄影大师、笑脸抓拍、声控拍照、定时拍照、连拍,,最大可支持 4160 × 3120 像素,最大可支持 3840 × 2160 像素,AI 动态照片、视频 HDR Vivid、慢动作、人像模式、延时摄影、智能滤镜、笑脸抓拍、自拍镜像、声控拍照、定时拍照,,,Bluetooth 5.2，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，USB 3.1 Gen 1,USB Type-C 接口,Huawei Histen，支持立体声,*.mp4,,6.7 英寸,OLED，支持 1-120 Hz LTPO 自适应刷新率，1440 Hz 高频 PWM 调光，300 Hz 触控采样率,,,2.4 GHz 和 5 GHz,支持，星闪E1.0,,第二代昆仑玻璃,,,自动对焦,LED 闪光灯,,,,北斗卫星消息,,,12 GB RAM,,,,1300 万像素超广角摄像头（F2.4 光圈）,10.7 亿色，P3 广色域,5000 万像素超光变摄像头（F1.4-F4.0 光圈，OIS 光学防抖）,手机支持最大超级快充 11V/6A，兼容 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充。,支持 50 W 华为无线超级快充，支持无线反向充电。,支持在线查找，离线查找,,,,,,,,,,,,,
Mate 系列,HUAWEI Mate 70 Air,4199,https://consumer.huawei.com/cn/phones/mate70-air/specs/,165.0 mm,81.5 mm,6.6 mm,208 g（含电池）,7 英寸,10.7 亿色，P3 广色域,OLED，2160 Hz 高频 PWM 调光，最高 300 Hz 触控采样率,FHD+ 2760 × 1320 像素,,,256 GB / 512 GB ROM,,支持 3 倍光学变焦（3 倍变焦为近似值，镜头焦段分别为 16 mm，24 mm，69 mm）、30 倍数字变焦,最大可支持 8192 × 6144 像素,最大支持 4K（3840 × 2160）视频录制，支持 AIS 防抖,个性色卡、AI 动态照片、视频 HDR Vivid、风驰闪拍、AI辅助构图、高画质模式、夜景模式、超级微距、微距视频、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、人像模式、专业模式、慢动作、全景模式、流光快门、水印、笑脸抓拍、声控拍照、定时拍照、连拍,,最大可支持 3776 × 2832 像素,最大可支持 3840 × 2160 像素,个性色卡、AI 动态照片、视频 HDR Vivid、慢动作、人像模式、夜景模式、延时摄影、笑脸抓拍、自拍镜像、声控拍照、定时拍照,,,Bluetooth 5.2，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，USB 2.0,USB Type-C 接口,Huawei Histen 音效，支持立体声,*.mp4,,,,,,2.4 GHz 和 5 GHz,支持，星闪E1.0,,,,,自动对焦,LED 闪光灯,,,,北斗卫星通信,,,12 GB / 16 GB RAM,,,,1070 万像素超广角摄像头（F2.2 光圈）,,"5000 万像素 1/1.3"" 超感光大底主摄（F1.8 光圈，OIS 光学防抖）",,,支持在线查找，离线查找，关机查找,,,,,,,,,,,,,
Mate 系列,HUAWEI Mate 70 Pro,6499,https://consumer.huawei.com/cn/phones/mate70-pro/specs/,164.6 mm,79.5 mm,8.2 mm,约 221 g（含电池）,,,,FHD+ 2832 × 1316 像素,,,256 GB / 512 GB / 1 TB ROM,,支持 4 倍光学变焦（4 倍变焦为近似值，镜头焦段分别为 24.5 mm，13 mm，92.5 mm）、100 倍数字变焦,最大可支持 8192 × 6144 像素,最大支持 4K（3840 × 2160）视频录制,AI 动态照片、视频 HDR Vivid、风驰闪拍、高画质模式、智能可变光圈、物理光圈可调、夜景模式、超级微距、微距视频、微距画中画、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、人像模式、专业模式、慢动作、全景模式、流光快门、智能滤镜、水印、AI 摄影大师、笑脸抓拍、声控拍照、定时拍照、连拍,,最大可支持 4160 × 3120 像素,最大可支持 3840 × 2160 像素,AI 动态照片、视频 HDR Vivid、慢动作、人像模式、延时摄影、智能滤镜、笑脸抓拍、自拍镜像、声控拍照、定时拍照,,,Bluetooth 5.2，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，USB 3.1 Gen 1,USB Type-C 接口,Huawei Histen，支持立体声,*.mp4,,6.9 英寸,OLED，支持 1-120 Hz LTPO 自适应刷新率，1440 Hz 高频 PWM 调光，300 Hz 触控采样率,,,2.4 GHz 和 5 GHz,支持，星闪E1.0,,第二代昆仑玻璃,,,自动对焦,LED 闪光灯,,,,北斗卫星消息,,,12 GB / 16 GB RAM,,,,1300 万像素超广角摄像头（F2.4 光圈）,10.7 亿色，P3 广色域,5000 万像素超聚光摄像头（F1.4-F4.0 光圈，OIS 光学防抖）,手机支持最大超级快充 100 W（20V/5A），兼容 20V/4.4A 或 11V/6A 或 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充，支持 18 W 有线反向充电。,支持 80 W 华为无线超级快充，支持 20 W 无线反向充电。,支持在线查找，离线查找，关机查找,,,,,,,,,,,,,
Mate 系列,HUAWEI Mate 70 Pro+,8499,https://consumer.huawei.com/cn/phones/mate70-pro-plus/specs/,164.6 mm,79.5 mm,8.25 mm,约 226 g（含电池）,,,,FHD+ 2832 × 1316 像素,,,512 GB / 1 TB ROM,,支持 4 倍光学变焦（4 倍变焦为近似值，镜头焦段分别为 24 mm，13 mm，92.5 mm）、100 倍数字变焦,最大可支持 8192 × 6144 像素,最大支持 4K（3840 × 2160）视频录制,AI 动态照片、视频 HDR Vivid、风驰闪拍、高画质模式、智能可变光圈、物理光圈可调、夜景模式、超级微距、微距视频、微距画中画、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、人像模式、专业模式、慢动作、全景模式、流光快门、智能滤镜、水印、AI 摄影大师、笑脸抓拍、声控拍照、定时拍照、连拍,,最大可支持 4160 × 3120 像素,最大可支持 3840 × 2160 像素,AI 动态照片、视频 HDR Vivid、慢动作、人像模式、延时摄影、智能滤镜、笑脸抓拍、自拍镜像、声控拍照、定时拍照,,,Bluetooth 5.2，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，USB 3.1 Gen 1,USB Type-C 接口,Huawei Histen，支持立体声,*.mp4,,6.9 英寸,OLED，支持 1-120 Hz LTPO 自适应刷新率，1440 Hz 高频 PWM 调光，300 Hz 触控采样率,,,2.4 GHz 和 5 GHz,支持，星闪E1.0,,第二代昆仑玻璃,,,自动对焦,LED 闪光灯,,,,天通卫星通信、北斗卫星消息,,,16 GB RAM,,,,1300 万像素超广角摄像头（F2.4 光圈）,10.7 亿色，P3 广色域,5000 万像素超聚光摄像头（F1.4-F4.0 光圈，OIS 光学防抖，RYYB 传感器）,手机支持最大超级快充 100 W（20V/5A），兼容 20V/4.4A 或 11V/6A 或 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充，支持 18 W 有线反向充电。,支持 80 W 华为无线超级快充，支持 20 W 无线反向充电。,支持在线查找，离线查找，关机查找,,,,,,,,,,,,,
Mate 系列,HUAWEI Mate 70 Pro 优享版,6199,https://consumer.huawei.com/cn/phones/mate70-pro-youxiangban/specs/,164.6 mm,79.5 mm,8.2 mm,约 221 g（含电池）,,,,FHD+ 2832 × 1316 像素,,,256 GB / 512 GB / 1 TB ROM,,支持 4 倍光学变焦（4 倍变焦为近似值，镜头焦段分别为 24.5 mm，13 mm，92.5 mm）、100 倍数字变焦,最大可支持 8192 × 6144 像素,最大支持 4K（3840 × 2160）视频录制,AI 动态照片、视频 HDR Vivid、风驰闪拍、高画质模式、智能可变光圈、物理光圈可调、夜景模式、超级微距、微距视频、微距画中画、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、人像模式、专业模式、慢动作、全景模式、流光快门、智能滤镜、水印、AI 摄影大师、笑脸抓拍、声控拍照、定时拍照、连拍,,最大可支持 4160 × 3120 像素,最大可支持 3840 × 2160 像素,AI 动态照片、视频 HDR Vivid、慢动作、人像模式、延时摄影、智能滤镜、笑脸抓拍、自拍镜像、声控拍照、定时拍照,,,Bluetooth 5.2，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，USB 3.1 Gen 1,USB Type-C 接口,Huawei Histen，支持立体声,*.mp4,,6.9 英寸,OLED，支持 1-120 Hz LTPO 自适应刷新率，1440 Hz 高频 PWM 调光，300 Hz 触控采样率,,,2.4 GHz 和 5 GHz,支持，星闪E1.0,,第二代昆仑玻璃,,,自动对焦,LED 闪光灯,,,,北斗卫星消息,,,12 GB RAM,,,,1300 万像素超广角摄像头（F2.4 光圈）,10.7 亿色，P3 广色域,5000 万像素超聚光摄像头（F1.4-F4.0 光圈，OIS 光学防抖）,手机支持最大超级快充 100 W（20V/5A），兼容 20V/4.4A 或 11V/6A 或 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充，支持 18 W 有线反向充电。,支持 80 W 华为无线超级快充，支持 20 W 无线反向充电。,支持在线查找，离线查找，关机查找,,,,,,,,,,,,,
Mate 系列,HUAWEI Mate 70 RS 非凡大师,6499,https://consumer.huawei.com/cn/phones/mate70-rs-ultimate-design/specs/,164.6 mm,79.5 mm,8.25 mm,玄黑、皓白：约 251 g（含电池） 瑞红：约 256 g（含电池）,,,,FHD+ 2832 × 1316 像素,,,512 GB / 1 TB ROM,,支持 4 倍光学变焦（4 倍变焦为近似值，镜头焦段分别为 24 mm，13 mm，92.5 mm）、100 倍数字变焦,最大可支持 8192 × 6144 像素,最大支持 4K（3840 × 2160）视频录制,AI 动态照片、视频 HDR Vivid、风驰闪拍、高画质模式、智能可变光圈、物理光圈可调、夜景模式、超级微距、微距视频、微距画中画、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、人像模式、专业模式、慢动作、全景模式、流光快门、智能滤镜、水印、AI 摄影大师、笑脸抓拍、声控拍照、定时拍照、连拍,,最大可支持 4160 × 3120 像素,最大可支持 3840 × 2160 像素,AI 动态照片、视频 HDR Vivid、慢动作、人像模式、延时摄影、智能滤镜、笑脸抓拍、自拍镜像、声控拍照、定时拍照,,,Bluetooth 5.2，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，USB 3.1 Gen 1,USB Type-C 接口,Huawei Histen，支持立体声,*.mp4,,6.9 英寸,双层 OLED，支持 1-120 Hz LTPO 自适应刷新率，1440 Hz 高频 PWM 调光，300 Hz 触控采样率,,,2.4 GHz 和 5 GHz,支持，星闪E1.0,,玄武钢化昆仑玻璃,,,自动对焦,LED 闪光灯,,,,天通卫星通信、北斗卫星消息,,,16 GB RAM,,支持,,1300 万像素超广角摄像头（F2.4 光圈）,10.7 亿色，P3 广色域,5000 万像素超聚光摄像头（F1.4-F4.0 光圈，OIS 光学防抖，RYYB 传感器）,手机支持最大超级快充 100 W（20V/5A），兼容 20V/4.4A 或 11V/6A 或 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充，支持 18 W 有线反向充电。,支持 80 W 华为无线超级快充，支持 20 W 无线反向充电。,支持在线查找，离线查找,,,,,,,,,,,,,
Mate 系列,HUAWEI Mate 80,5499,https://consumer.huawei.com/cn/phones/mate80/specs/,161.85 mm,76 mm,7.95 mm,约 217 g（含电池）,,,,FHD+ 2832 × 1280 像素,,,256 GB / 512 GB ROM,,支持 5.5 倍光学变焦（5.5 倍变焦为近似值，镜头焦段分别为 24 mm，13 mm，125 mm）、50 倍数字变焦,最大可支持 8192 × 6144 像素,最大支持 4K（3840 x 2160）视频录制,XMAGE 风格、AI 辅助构图、电影效果*、舞台模式、超清全景、AI 超清增强、超级夜景、寰宇追月、绚丽星空、星空人像、AI 动态照片、视频 HDR Vivid、视频 Log、拍照 RAW 格式、闪拍、运动防抖、高画质模式、超级微距、微距视频、微距画中画、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、人像模式、专业模式、慢动作、流光快门、水印、AI 摄影大师、笑脸抓拍、声控拍照、定时拍照、连拍,,最大可支持 4160 × 3120 像素,最大可支持 3840 × 2160 像素,XMAGE 风格、AI 动态照片、视频 HDR Vivid、慢动作、人像模式、延时摄影、笑脸抓拍、自拍镜像、声控拍照、定时拍照,,,Bluetooth 6.0，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，USB 3.1 Gen 1,USB Type-C 接口,Huawei Histen，支持立体声,*.mp4,,6.75 英寸,OLED，支持 1-120 Hz LTPO 自适应刷新率，1440 Hz 高频 PWM 调光，300 Hz 触控采样率,,手机支持最大超级快充 66 W（11V/6A），兼容 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充，支持 5 W 有线反向充电。,2.4 GHz 和 5 GHz,支持，星闪 E2.0,,第二代昆仑玻璃,,,自动对焦,LED 闪光灯,,,支持 50 W 华为无线超级快充，支持无线反向充电。,北斗卫星消息,,,12 GB / 16 GB RAM,,,,1300 万像素超广角摄像头（F2.0 光圈，自动对焦）,10.7 亿色，P3 广色域,5000 万像素超光变摄像头（F1.4-F4.0 光圈，OIS 光学防抖，RYYB 传感器）,,,支持在线查找，离线查找，关机查找（关机响铃）,,,,,,,,,,,,,
Mate 系列,HUAWEI Mate 80 Pro,6999,https://consumer.huawei.com/cn/phones/mate80-pro/specs/,161.85 mm,76 mm,7.95 mm,约 219 g（含电池）,,,,FHD+ 2832 × 1280 像素,,,256 GB / 512 GB / 1 TB ROM,,支持 4 倍光学变焦（4 倍变焦为近似值，镜头焦段分别为 24 mm，13 mm，92.5 mm）、8 倍光学品质变焦、100 倍数字变焦,最大可支持 8192 × 6144 像素,最大支持 4K（3840 × 2160）视频录制,XMAGE 风格、AI 辅助构图、电影效果、舞台模式、超清全景、AI 超清增强、超级夜景、寰宇追月、绚丽星空、星空人像、AI 动态照片、视频 HDR Vivid、视频 Log、拍照 RAW 格式、闪拍、运动防抖、高画质模式、超级微距、微距视频、微距画中画、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、人像模式、专业模式、慢动作、流光快门、水印、AI 摄影大师、笑脸抓拍、声控拍照、定时拍照、连拍,,最大可支持 4160 × 3120 像素,最大可支持 3840 × 2160 像素,XMAGE 风格、AI 动态照片、视频 HDR Vivid、慢动作、人像模式、延时摄影、笑脸抓拍、自拍镜像、声控拍照、定时拍照,,,Bluetooth 6.0，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，USB 3.1 Gen 1,USB Type-C 接口,Huawei Histen，支持立体声,*.mp4,,6.75 英寸,OLED，支持 1-120 Hz LTPO 自适应刷新率，1440 Hz 高频 PWM 调光，300 Hz 触控采样率,,手机支持最大超级快充 100 W（20V/5A），兼容 20V/4.4A 或 11V/6A 或 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充，支持 18 W 有线反向充电。,2.4 GHz 和 5 GHz,支持，星闪 E2.0,,第二代昆仑玻璃,,,自动对焦,LED 闪光灯,,,支持 80 W 华为无线超级快充，支持无线反向充电。,北斗卫星消息,,,12 GB / 16 GB RAM,,,,1300 万像素超广角摄像头（F2.0 光圈，自动对焦）,10.7 亿色，P3 广色域,5000 万像素超聚光摄像头（F1.4-F4.0 光圈，OIS 光学防抖，RYYB 传感器）,,,支持在线查找，离线查找，关机查找（关机响铃）,,,,,,,,,,,,,
Mate 系列,HUAWEI Mate 80 Pro Max,8999,https://consumer.huawei.com/cn/phones/mate80-pro-max/specs/,164.4 mm,79 mm,8.25 mm,约 239 g（含电池）,,,,FHD+ 2848 × 1320 像素,,,512 GB / 1 TB ROM,,支持 4 倍和 6.2 倍光学变焦（4 倍、6.2 倍变焦为近似值，镜头焦段分别为 24 mm，13 mm，90.5 mm，140 mm）、12.4 倍光学品质变焦、100 倍数字变焦,最大可支持 8192 × 6144 像素,最大支持 4K（3840 × 2160）视频录制,XMAGE 风格、AI 辅助构图、电影效果、舞台模式、超清全景、AI 超清增强、超级夜景、寰宇追月、绚丽星空、星空人像、AI 动态照片、视频 HDR Vivid、视频 Log、拍照 RAW 格式、闪拍、运动防抖、高画质模式、超级微距、微距视频、微距画中画、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、人像模式、专业模式、慢动作、流光快门、水印、AI 摄影大师、笑脸抓拍、声控拍照、定时拍照、连拍,,最大可支持 4160 × 3120 像素,最大可支持 3840 × 2160 像素,XMAGE 风格、AI 动态照片、视频 HDR Vivid、慢动作、人像模式、延时摄影、笑脸抓拍、自拍镜像、声控拍照、定时拍照,,,Bluetooth 6.0，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，USB 3.1 Gen 1,USB Type-C 接口,Huawei Histen，支持立体声,*.mp4,,6.9 英寸,双层 OLED，支持 1-120 Hz LTPO 自适应刷新率，1440 Hz 高频 PWM 调光，300 Hz 触控采样率,,手机支持最大超级快充 100 W（20V/5A），兼容 20V/4.4A 或 11V/6A 或 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充，支持 18 W 有线反向充电。,2.4 GHz 和 5 GHz,支持，星闪 E2.0,,第二代昆仑玻璃,,,自动对焦,LED 闪光灯,,,支持 80 W 华为无线超级快充，支持无线反向充电。,天通卫星通信、北斗卫星消息,,,16 GB RAM,,,,1300 万像素超广角摄像头（F2.0 光圈，自动对焦）,10.7 亿色，P3 广色域,5000 万像素超高动态摄像头（F1.4-F4.0 光圈，OIS 光学防抖，RYYB 传感器）,,,支持在线查找，离线查找，关机查找（关机响铃）,,,,,,,,,,,,,
Mate 系列,HUAWEI Mate 80 Pro Max 风驰版,9499,https://consumer.huawei.com/cn/phones/mate80-pro-max-fengchiban/specs/,164.4 mm,79 mm,8.25 mm,约 239 g（含电池）,6.9 英寸,10.7 亿色，P3 广色域,双层 OLED，支持 1-120 Hz LTPO 自适应刷新率，1440 Hz 高频 PWM 调光，300 Hz 触控采样率,FHD+ 2848 × 1320 像素,,,512 GB / 1 TB ROM,,支持 4 倍光学变焦(4 倍变焦为近似值，镜头焦段分别为 24 mm，13 mm，90.5 mm）、100 倍数字变焦,最大可支持 8192 × 6144 像素,最大支持 4K（3840 × 2160）视频录制,XMAGE 风格、AI 辅助构图、电影效果、舞台模式、超清全景、AI 超清增强、超级夜景、寰宇追月、绚丽星空、星空人像、AI 动态照片、视频 HDR Vivid、视频 Log、拍照 RAW 格式、闪拍、运动防抖、高画质模式、超级微距、微距视频、微距画中画、长焦画中画、高像素模式、延时摄影、超大广角、大光圈虚化、人像模式、专业模式、慢动作、流光快门、水印、AI 摄影大师、笑脸抓拍、声控拍照、定时拍照、连拍,,最大可支持 4160 × 3120 像素,最大可支持 3840 × 2160 像素,XMAGE 风格、AI 动态照片、视频 HDR Vivid、慢动作、人像模式、延时摄影、笑脸抓拍、自拍镜像、声控拍照、定时拍照,,,Bluetooth 6.0，支持低功耗蓝牙，支持 SBC、AAC，支持 LDAC 和 L2HC 高清音频,USB Type-C，USB 3.1 Gen 1,USB Type-C 接口,Huawei Histen，支持立体声,*.mp4,,,,,手机支持最大超级快充 100 W (20V/5A)，兼容 20V/4.4A 或 11V/6A 或 10V/4A 或 10V/2.25A 或 4.5V/5A 或 5V/4.5A 超级快充，兼容 9V/2A 快充，支持 18 W 有线反向充电。,2.4 GHz 和 5 GHz,支持，星闪 E2.0,,第二代昆仑玻璃,,,自动对焦,LED 闪光灯,,,支持 80 W 华为无线超级快充，支持无线反向充电。,天通卫星通信、北斗卫星消息,,,16 GB RAM,,,,1300 万像素超广角摄像头（F2.0 光圈，自动对焦）,,5000 万像素超高动态摄像头（F1.4-F4.0 光圈，OIS 光学防抖，RYYB 传感器）,,,支持在线查找，离线查找，关机查找（关机响铃）,,,,,,,,,,,,,
